GNSS Locations for ALL the Earthquakes
st_name	lat	lon	elv	samp_rate	gain	unit
0001	45.4030	141.7504	0.0	1.00	1.000000e+04	counts/cm
0002	44.4337	143.2242	0.0	1.00	1.000000e+04	counts/cm
0003	44.3980	141.7563	0.0	1.00	1.000000e+04	counts/cm
0004	43.9157	144.6758	0.0	1.00	1.000000e+04	counts/cm
0005	43.5079	144.4490	0.0	1.00	1.000000e+04	counts/cm
0007	43.5897	142.4825	0.0	1.00	1.000000e+04	counts/cm
0008	43.8540	141.5104	0.0	1.00	1.000000e+04	counts/cm
0009	43.0701	145.1296	0.0	1.00	1.000000e+04	counts/cm
0010	42.9633	144.4319	0.0	1.00	1.000000e+04	counts/cm
0011	43.0286	143.4592	0.0	1.00	1.000000e+04	counts/cm
0012	42.9805	142.4020	0.0	1.00	1.000000e+04	counts/cm
0013	43.1779	141.0309	0.0	1.00	1.000000e+04	counts/cm
0014	42.9833	141.7307	0.0	1.00	1.000000e+04	counts/cm
0015	42.3216	143.3310	0.0	1.00	1.000000e+04	counts/cm
0016	42.3569	142.3646	0.0	1.00	1.000000e+04	counts/cm
0017	42.4507	139.8577	0.0	1.00	1.000000e+04	counts/cm
0018	42.3742	140.9424	0.0	1.00	1.000000e+04	counts/cm
0019	42.0059	143.1565	0.0	1.00	1.000000e+04	counts/cm
0020	42.1535	139.5196	0.0	1.00	1.000000e+04	counts/cm
0021	42.0081	140.1073	0.0	1.00	1.000000e+04	counts/cm
0022	41.8261	140.7478	0.0	1.00	1.000000e+04	counts/cm
0023	41.4664	140.0407	0.0	1.00	1.000000e+04	counts/cm
0024	41.3008	141.2133	0.0	1.00	1.000000e+04	counts/cm
0026	40.7790	140.2730	0.0	1.00	1.000000e+04	counts/cm
0027	40.1334	141.7891	0.0	1.00	1.000000e+04	counts/cm
0028	39.5724	141.9400	0.0	1.00	1.000000e+04	counts/cm
0029	39.1106	141.2040	0.0	1.00	1.000000e+04	counts/cm
0030	39.9679	139.7762	0.0	1.00	1.000000e+04	counts/cm
0031	39.3987	140.0482	0.0	1.00	1.000000e+04	counts/cm
0032	38.8946	139.8089	0.0	1.00	1.000000e+04	counts/cm
0033	38.7586	140.3188	0.0	1.00	1.000000e+04	counts/cm
0035	38.3310	140.3661	0.0	1.00	1.000000e+04	counts/cm
0036	38.4492	141.4412	0.0	1.00	1.000000e+04	counts/cm
0037	38.3175	140.9542	0.0	1.00	1.000000e+04	counts/cm
0038	37.8007	140.9081	0.0	1.00	1.000000e+04	counts/cm
0040	37.6437	139.7915	0.0	1.00	1.000000e+04	counts/cm
0041	37.0907	140.9025	0.0	1.00	1.000000e+04	counts/cm
0042	36.5399	140.6119	0.0	1.00	1.000000e+04	counts/cm
0043	36.4018	139.7264	0.0	1.00	1.000000e+04	counts/cm
0044	36.6970	138.9063	0.0	1.00	1.000000e+04	counts/cm
0045	36.2590	138.8654	0.0	1.00	1.000000e+04	counts/cm
0046	36.4998	137.8511	0.0	1.00	1.000000e+04	counts/cm
0047	35.9236	137.9438	0.0	1.00	1.000000e+04	counts/cm
0048	35.5903	138.5833	0.0	1.00	1.000000e+04	counts/cm
0049	38.2307	139.5096	0.0	1.00	1.000000e+04	counts/cm
0050	37.8965	138.9889	0.0	1.00	1.000000e+04	counts/cm
0051	37.3977	138.5744	0.0	1.00	1.000000e+04	counts/cm
0053	37.3824	136.8892	0.0	1.00	1.000000e+04	counts/cm
0054	36.6634	136.6499	0.0	1.00	1.000000e+04	counts/cm
0055	36.2312	136.1730	0.0	1.00	1.000000e+04	counts/cm
0056	35.6026	136.1058	0.0	1.00	1.000000e+04	counts/cm
0057	35.5499	135.2334	0.0	1.00	1.000000e+04	counts/cm
0058	36.1360	137.3479	0.0	1.00	1.000000e+04	counts/cm
0059	35.8005	137.2484	0.0	1.00	1.000000e+04	counts/cm
0060	35.5261	136.9000	0.0	1.00	1.000000e+04	counts/cm
0061	35.3968	137.4676	0.0	1.00	1.000000e+04	counts/cm
0064	34.7590	136.5023	0.0	1.00	1.000000e+04	counts/cm
0065	34.4654	136.8511	0.0	1.00	1.000000e+04	counts/cm
0066	34.0607	136.1984	0.0	1.00	1.000000e+04	counts/cm
0067	34.8380	135.5010	0.0	1.00	1.000000e+04	counts/cm
0068	34.3923	135.8514	0.0	1.00	1.000000e+04	counts/cm
0069	34.1577	135.2215	0.0	1.00	1.000000e+04	counts/cm
0070	33.4834	135.7644	0.0	1.00	1.000000e+04	counts/cm
0071	34.7848	134.5504	0.0	1.00	1.000000e+04	counts/cm
0074	35.4339	133.0587	0.0	1.00	1.000000e+04	counts/cm
0075	35.0028	132.2090	0.0	1.00	1.000000e+04	counts/cm
0076	34.6165	131.6104	0.0	1.00	1.000000e+04	counts/cm
0077	34.5488	133.5280	0.0	1.00	1.000000e+04	counts/cm
0078	34.3404	132.5754	0.0	1.00	1.000000e+04	counts/cm
0079	33.9966	130.9136	0.0	1.00	1.000000e+04	counts/cm
0080	34.2860	134.0239	0.0	1.00	1.000000e+04	counts/cm
0081	33.9269	134.6260	0.0	1.00	1.000000e+04	counts/cm
0082	33.3159	134.1221	0.0	1.00	1.000000e+04	counts/cm
0083	33.5292	133.5783	0.0	1.00	1.000000e+04	counts/cm
0084	33.2729	133.2418	0.0	1.00	1.000000e+04	counts/cm
0085	32.7557	132.9664	0.0	1.00	1.000000e+04	counts/cm
0086	33.4690	132.2812	0.0	1.00	1.000000e+04	counts/cm
0087	33.7307	130.4768	0.0	1.00	1.000000e+04	counts/cm
0088	33.4615	131.6914	0.0	1.00	1.000000e+04	counts/cm
0089	33.3311	130.9678	0.0	1.00	1.000000e+04	counts/cm
0090	32.9246	131.8764	0.0	1.00	1.000000e+04	counts/cm
0091	33.4761	129.8503	0.0	1.00	1.000000e+04	counts/cm
0093	32.5464	130.6456	0.0	1.00	1.000000e+04	counts/cm
0094	32.4454	131.6323	0.0	1.00	1.000000e+04	counts/cm
0095	32.0218	131.4697	0.0	1.00	1.000000e+04	counts/cm
0096	32.0132	130.1901	0.0	1.00	1.000000e+04	counts/cm
0097	31.5038	130.4665	0.0	1.00	1.000000e+04	counts/cm
0098	31.2646	130.2995	0.0	1.00	1.000000e+04	counts/cm
0099	31.2585	131.0875	0.0	1.00	1.000000e+04	counts/cm
0100	26.1448	127.7689	0.0	1.00	1.000000e+04	counts/cm
0101	45.3358	142.1697	0.0	1.00	1.000000e+04	counts/cm
0102	45.2760	141.0382	0.0	1.00	1.000000e+04	counts/cm
0103	45.0024	142.5371	0.0	1.00	1.000000e+04	counts/cm
0104	44.8925	141.7414	0.0	1.00	1.000000e+04	counts/cm
0105	44.7285	142.2652	0.0	1.00	1.000000e+04	counts/cm
0106	44.4270	141.3301	0.0	1.00	1.000000e+04	counts/cm
0107	44.2946	142.6256	0.0	1.00	1.000000e+04	counts/cm
0108	44.0639	144.0298	0.0	1.00	1.000000e+04	counts/cm
0109	44.0192	145.1861	0.0	1.00	1.000000e+04	counts/cm
0110	44.0068	142.1517	0.0	1.00	1.000000e+04	counts/cm
0111	44.0056	143.3337	0.0	1.00	1.000000e+04	counts/cm
0112	42.8945	143.9269	0.0	1.00	1.000000e+04	counts/cm
0113	43.5494	144.9870	0.0	1.00	1.000000e+04	counts/cm
0114	43.8489	143.7873	0.0	1.00	1.000000e+04	counts/cm
0115	43.6618	145.1314	0.0	1.00	1.000000e+04	counts/cm
0116	43.4087	144.7743	0.0	1.00	1.000000e+04	counts/cm
0117	43.4047	141.4312	0.0	1.00	1.000000e+04	counts/cm
0118	43.3825	145.1150	0.0	1.00	1.000000e+04	counts/cm
0119	43.3669	145.8011	0.0	1.00	1.000000e+04	counts/cm
0120	43.2926	140.5971	0.0	1.00	1.000000e+04	counts/cm
0121	43.2895	143.5624	0.0	1.00	1.000000e+04	counts/cm
0122	43.2329	144.3250	0.0	1.00	1.000000e+04	counts/cm
0123	43.2320	143.2980	0.0	1.00	1.000000e+04	counts/cm
0124	43.1206	144.1265	0.0	1.00	1.000000e+04	counts/cm
0125	43.0576	144.8430	0.0	1.00	1.000000e+04	counts/cm
0126	43.0568	140.4992	0.0	1.00	1.000000e+04	counts/cm
0127	42.9853	140.5439	0.0	1.00	1.000000e+04	counts/cm
0128	42.9714	141.2903	0.0	1.00	1.000000e+04	counts/cm
0129	42.8579	140.8833	0.0	1.00	1.000000e+04	counts/cm
0130	42.8027	140.6035	0.0	1.00	1.000000e+04	counts/cm
